|g|,|t|,|p|,worst_case,|s|_worst,median,|s|_median
2228207,17,262125,130.100000,57.000000,1.000000,27.200000,196606
1048560,16,131054,57.700000,53.000000,1.000000,24.300000,98302
491505,15,65519,26.300000,49.000000,0.300000,21.100000,49150
4718574,18,524268,235.000000,61.000000,2.600000,29.800000,393214
9961453,19,1048555,562.400000,65.000000,2.000000,31.300000,786430
44040171,21,4194281,3236.200000,73.000000,11.600000,38.800000,3145726
92274666,22,8388584,8382.500000,77.000000,12.600000,38.000000,6291454
20971500,20,2097130,1468.500000,69.000000,5.900000,34.200000,1572862
