|g|,|t|,|p|,worst_case,|s|_worst,median,|s|_median
44040171,21,4194281,2722.700000,73.000000,2941.700000,33.900000,0
92274666,22,8388584,6081.700000,77.000000,5392.300000,35.500000,0
20971500,20,2097130,1147.100000,69.000000,1068.700000,35.000000,0
2228207,17,262125,112.800000,57.000000,121.300000,29.400000,0
1048560,16,131054,59.100000,53.000000,52.600000,27.300000,0
491505,15,65519,25.000000,49.000000,26.500000,24.800000,0
4718574,18,524268,224.600000,61.000000,212.400000,28.700000,0
9961453,19,1048555,518.300000,65.000000,450.500000,29.500000,0
